token,pos
2025,NUM
BBC,NOUN
बीबीसी,NOUN
बाह्य,NOUN
इंटरनेट,NOUN
साइट्सच्या,PP
सामग्रीसाठी,PP
बीबीसी,NOUN
जबाबदार,NOUN
नाही,NOUN
बाह्य,NOUN
लिंक्सबद्दल,NOUN
आम्हाल,NOUN
काय,NOUN
वाटतं,NOUN
इथे,NOUN
वाचा,NOUN
बाह्य,NOUN
लिंक्सबद्दल,NOUN
आम्हाल,NOUN
काय,NOUN
वाटतं,NOUN
इथे,NOUN
वाचा,NOUN
अकोल्यात,NOUN
एकेकाळी,NOUN
शिकार,NOUN
करणारे,NOUN
फासेपारधी,NOUN
समाजातील,NOUN
लोक,NOUN
आता,NOUN
दुर्मिळ,NOUN
तणमोर,NOUN
पक्ष्याचं,NOUN
संवर्धन,NOUN
करत,NOUN
आहेत,NOUN
हा,PART
पक्षी,NOUN
नामशेष,NOUN
होण्याच्या,PP
मार्गावर,PP
असताना,NOUN
कौस्तुभ,NOUN
पांढरीपांडे,NOUN
यांच्या,PP
संस्थेच्या,PP
मदतीनं,NOUN
हा,PART
अनोखा,NOUN
लोकसहभागाचा,NOUN
प्रयोग,NOUN
साकारतोय,NOUN
भारतभर,NOUN
फक्त,NOUN
सुमारे,NOUN
730,NUM
तणमोर,NOUN
उरले,VERB
असताना,NOUN
अकोल्यात,NOUN
हे,PART
आशादायी,NOUN
चित्र,NOUN
आहे,NOUN
व्हीडिओ,NOUN
एडिट,NOUN
अरविंद,NOUN
पारेकर,NOUN
भारतातल्या,NOUN
गुजरात,NOUN
आणि,NOUN
पाकिस्तानच्या,PP
सिंध,NOUN
प्रांताच्या,PP
सीमेवरच्या,PP
सुमारे,NOUN
96,NUM
किलोमीटर,NOUN
लांबीच्या,PP
Sir,NOUN
Creek,NOUN
या,PART
दलदलीच्या,PP
जागेवर,PP
भारत,NOUN
आणि,NOUN
पाकिस्तान,NOUN
दोघेही,NOUN
हक्क,NOUN
सांगतात,VERB
काय,NOUN
आहे,NOUN
हा,PART
वाद,NOUN
कधीपासून,NOUN
आहे,NOUN
आणि,NOUN
आता,NOUN
याच,NOUN
परिसरात,NOUN
भारत,NOUN
आणि,NOUN
पाकिस्तान,NOUN
या,PART
दोन्ही,NOUN
देशांचे,NOUN
लष्करी,NOUN
सराव,NOUN
का,PART
सुरू,NOUN
आहेत,NOUN
अलिकडेच,NOUN
झालेल्या,NOUN
संघर्षाच्या,PP
पार्श्वभूमीवर,PP
याकडे,PP
कसं,NOUN
पाहायचं,NOUN
समजून,NOUN
घेऊयात,NOUN
सोपी,NOUN
गोष्टमध्ये,PP
Author,NOUN
नवीन,NOUN
सिंह,NOUN
खडका,NOUN
अँटोनिया,NOUN
क्यूबेरोआणि,NOUN
व्हिज्युअल,NOUN
जर्नलिझम,NOUN
टीमRole,NOUN
बीबीसी,NOUN
वर्ल्ड,NOUN
सर्व्हिस,NOUN
Author,NOUN
नवीन,NOUN
सिंह,NOUN
खडका,NOUN
अँटोनिया,NOUN
क्यूबेरोआणि,NOUN
व्हिज्युअल,NOUN
जर्नलिझम,NOUN
टीम,NOUN
Role,NOUN
बीबीसी,NOUN
वर्ल्ड,NOUN
सर्व्हिस,NOUN
या,PART
वर्षीची,NOUN
संयुक्त,NOUN
राष्ट्रसंघाची,NOUN
हवामान,NOUN
बदल,NOUN
परिषद,NOUN
COP30,NOUN
ब्राझीलच्या,PP
उत्तर,NOUN
भागात,NOUN
असलेल्या,NOUN
बेलेम,NOUN
या,PART
शहरात,NOUN
होते,NOUN
आहे,NOUN
या,PART
शहराला,PP
अनेकदा,NOUN
ॲमेझॉनच्या,PP
जंगलांचं,NOUN
प्रवेशद्वार,NOUN
म्हटलं,NOUN
जातं,NOUN
हे,PART
जगातील,NOUN
सर्वात,NOUN
मोठं,NOUN
सदाहरित,NOUN
जंगल,NOUN
वर्षावन,NOUN
आहे,NOUN
हे,PART
शहर,NOUN
म्हणजे,NOUN
एक,PART
प्रतीकात्मक,NOUN
स्थान,NOUN
आहे,NOUN
पॅरिसमध्ये,PP
झालेल्या,NOUN
हवामान,NOUN
बदलावरच्या,PP
परिषदेनंतर,NOUN
दहा,NOUN
वर्षांनी,NOUN
जगभरातील,NOUN
देशांचे,NOUN
प्रतिनिधी,NOUN
बेलेम,NOUN
शहरात,NOUN
जमत,NOUN
आहेत,NOUN
पॅरिसमध्ये,PP
एक,PART
ऐतिहासिक,NOUN
करार,NOUN
झाला,PP
होता,NOUN
त्या,NOUN
कराराचा,NOUN
उद्देश,NOUN
पृथ्वीवरील,NOUN
तापमान,NOUN
वाढवणाऱ्या,NOUN
ग्रीन,NOUN
हाऊस,NOUN
गॅस,NOUN
म्हणजे,NOUN
हरितगृह,NOUN
वायूंचं,NOUN
उत्सर्जन,NOUN
सुरक्षित,NOUN
मर्यादेपर्यंत,NOUN
रोखण्याचा,NOUN
होता,NOUN
पर्यावरणात,NOUN
मोठ्या,NOUN
प्रमाणात,NOUN
असणारा,NOUN
कार्बन,NOUN
डायऑक्साईड,NOUN
वायू,NOUN
शोषून,NOUN
घेण्याचं,NOUN
काम,NOUN
ॲमेझॉनचं,NOUN
हे,PART
घनदाट,NOUN
जंगल,NOUN
करतं,NOUN
त्यामुळे,NOUN
हवामान,NOUN
बदलाच्या,PP
स्थितीमध्ये,PP
सुधारणा,NOUN
करण्याच्या,PP
उपायांमध्ये,PP
या,PART
जंगलांची,NOUN
भूमिका,NOUN
अत्यंत,NOUN
महत्त्वाची,NOUN
आहे,NOUN
मात्र,NOUN
वैज्ञानिकांचं,NOUN
म्हणणं,NOUN
आहे,NOUN
की,PART
अनक,NOUN
दशकांपासून,NOUN
होत,NOUN
असलेली,VERB
जंगलतोड,NOUN
आणि,NOUN
हवामान,NOUN
बदलाच्या,PP
परिणामांमुळे,NOUN
ॲमेझॉनच्या,PP
जंगलांचं,NOUN
भविष्यच,NOUN
अनिश्चित,NOUN
आणि,NOUN
अंधारमय,NOUN
झालं,NOUN
आहे,NOUN
बेलेम,NOUN
ही,PART
ब्राझीलच्या,PP
पारा,NOUN
प्रांताची,NOUN
राजधानी,NOUN
आहे,NOUN
याच,NOUN
पारा,NOUN
प्रांतात,VERB
ॲमेझॉनच्या,PP
जंगलांचा,NOUN
सर्वाधिक,NOUN
विनाश,NOUN
होतो,NOUN
आहे,NOUN
याच,NOUN
कारणामुळे,NOUN
बीबीसी,NOUN
ॲमेझॉनच्या,PP
जंगलांची,NOUN
सद्यस्थिती,NOUN
आणि,NOUN
या,PART
जंगलांना,NOUN
ज्या,NOUN
धोक्यांचा,NOUN
सामना,NOUN
करावा,NOUN
लागतो,NOUN
आहे,NOUN
त्याचा,NOUN
सखोल,NOUN
आढावा,NOUN
घेत,NOUN
आहे,NOUN
ॲमेझॉनच्या,PP
जंगलाचा,NOUN
जवळपास,NOUN
60,NUM
टक्के,NOUN
भाग,NOUN
ब्राझीलमध्ये,PP
आहे,NOUN
ब्राझीलचं,NOUN
म्हणणं,NOUN
आहे,NOUN
की,PART
उष्णकटिबंधीय,NOUN
सदाहरित,NOUN
जंगलांची,NOUN
सुरक्षा,NOUN
मजबूत,NOUN
करण्यासाठी,PP
ते,PART
एक,PART
नवीन,NOUN
करार,NOUN
घडवून,NOUN
आणण्याचा,NOUN
प्रयत्न,NOUN
करतील,NOUN
ताण,NOUN
आलाय,NOUN
मन,PART
शांत,NOUN
करायचंय,NOUN
आपल्याच,NOUN
शरीरातल्या,NOUN
या,PART
शांततेच्या,PP
बटणा,NOUN
बद्दल,NOUN
जाणून,NOUN
घ्या,NOUN
एक,PART
मराठी,NOUN
माणूस,NOUN
जेव्हा,NOUN
बिहारमधून,NOUN
तब्बल,NOUN
4,NUM
वेळा,NOUN
खासदार,NOUN
होतो,NOUN
कर्जाचे,NOUN
हप्ते,NOUN
थकल्यावर,PP
बँकांचे,NOUN
वसुली,VERB
एजंट्स,NOUN
मागे,NOUN
लागत,NOUN
असतील,NOUN
तर,PART
ग्राहक,NOUN
म्हणून,NOUN
तुमचे,NOUN
अधिकार,NOUN
काय,NOUN
जाणून,NOUN
घ्या,NOUN
रुग्णालयातून,NOUN
घरी,NOUN
परतल्यावर,PP
अभिनेता,NOUN
गोविंदाने,PP
काय,NOUN
सांगितले,VERB
उष्णकटिबंधीय,NOUN
वर्षावनं,NOUN
किंवा,NOUN
सदाहरित,NOUN
जंगलं,NOUN
प्रामुख्यानं,NOUN
विषुववृत्ताजवळ,NOUN
आढळतात,VERB
या,PART
जंगलांमध्ये,PP
उंचच,NOUN
उंच,NOUN
बहुतांश,NOUN
सदाहरित,NOUN
वृक्ष,NOUN
असतात,VERB
दुर्मिळ,NOUN
प्रजातींचा,NOUN
अधिवास,NOUN
ॲमेझॉनमध्ये,PP
फक्त,NOUN
जंगलच,NOUN
नाही,NOUN
तर,PART
दलदलीचा,NOUN
प्रदेश,NOUN
आणि,NOUN
सवाना,NOUN
म्हणजे,NOUN
गवताळ,NOUN
मैदानी,NOUN
प्रदेश,NOUN
देखील,NOUN
आहे,NOUN
ॲमेझॉनचं,NOUN
खोरं,NOUN
दक्षिण,NOUN
अमेरिकेत,NOUN
67,NUM
लाख,NOUN
चौ,PART
किलोमीटरहून,NOUN
अधिक,NOUN
भूभागात,NOUN
पसरलेलं,NOUN
आहे,NOUN
क्षेत्रफळाचा,NOUN
विचार,NOUN
करता,NOUN
हा,PART
आकार,NOUN
भारताच्या,PP
दुप्पट,NOUN
आहे,NOUN
हा,PART
भाग,NOUN
पृथ्वीवरील,NOUN
सर्वाधिक,NOUN
समृद्ध,NOUN
आणि,NOUN
जैव,NOUN
विविधता,NOUN
असणाऱ्या,NOUN
भागांपैकी,NOUN
एक,PART
आहे,NOUN
किमान,NOUN
40,NUM
000,NUM
वनस्पतींच्या,PP
प्रजाती,NOUN
पक्षांच्या,PP
1,NUM
300,NUM
प्रजाती,NOUN
ज्यात,NOUN
हार्पी,NOUN
ईगल,NOUN
आणि,NOUN
टूकानचा,NOUN
समावेश,NOUN
आहे,NOUN
हिरव्या,NOUN
इगुआनापासून,NOUN
ते,PART
ब्लॅक,NOUN
कॅमनपर्यंत,NOUN
सरपटणाऱ्या,NOUN
प्राण्यांच्या,PP
378,NUM
प्रजाती,NOUN
400,NUM
हून,NOUN
अधिक,NOUN
उभयचर,NOUN
प्रजाती,NOUN
ज्यात,NOUN
डार्ट,NOUN
पॉयझन,NOUN
फ्रॉग,NOUN
आणि,NOUN
स्मूथ,NOUN
सायडेड,NOUN
टोड,NOUN
यांचा,NOUN
समावेश,NOUN
आहे,NOUN
गोड्या,NOUN
पाण्यातील,NOUN
माशांचे,NOUN
जवळपास,NOUN
3,NUM
000,NUM
प्रकार,NOUN
यात,NOUN
पिरान्हा,NOUN
आणि,NOUN
विशाल,NOUN
अरपाइमा,NOUN
माशाचा,NOUN
समावेश,NOUN
आहे,NOUN
त्याचं,NOUN
वजन,NOUN
200,NUM
किलोपर्यंत,NOUN
असू,NOUN
शकतं,NOUN
यापैकी,NOUN
अनेक,NOUN
प्रजाती,NOUN
जगात,NOUN
इतरत्र,NOUN
कुठेही,NOUN
आढळत,NOUN
नाहीत,NOUN
याव्यतिरिक्त,NOUN
या,PART
प्रदेशात,NOUN
शेकडो,NOUN
मूलनिवासी,NOUN
समुदाय,NOUN
राहतात,VERB
खोरे,NOUN
आणि,NOUN
जैवविविधतेच्या,PP
बाबतीत,NOUN
ॲमेझॉन,NOUN
ही,PART
जगातील,NOUN
सर्वात,NOUN
मोठी,NOUN
नदी,NOUN
आहे,NOUN
या,PART
नदीला,PP
तब्बल,NOUN
1,NUM
100,NUM
हून,NOUN
अधिक,NOUN
उपनद्या,NOUN
आहेत,NOUN
गोड्या,NOUN
पाण्याचा,NOUN
हा,PART
पृथ्वीवरील,NOUN
सर्वात,NOUN
मोठा,NOUN
स्रोत,NOUN
आहे,NOUN
हे,PART
पाणी,NOUN
शेवटी,NOUN
अटलांटिक,NOUN
महासागरात,NOUN
जाऊन,NOUN
मिळतं,NOUN
आणि,NOUN
सागरी,NOUN
प्रवाह,NOUN
राखण्यात,NOUN
महत्त्वाची,NOUN
भूमिका,NOUN
बजावतं,NOUN
ॲमेझॉनचं,NOUN
जंगल,NOUN
हे,PART
एक,PART
भलंमोठं,NOUN
कार्बन,NOUN
सिंक,NOUN
आहे,NOUN
अर्थात,NOUN
ॲमेझॉनच्या,PP
जंगलातील,NOUN
काही,NOUN
भागात,NOUN
वृक्षतोड,NOUN
झाल्यामुळे,NOUN
आणि,NOUN
जमीन,NOUN
खराब,NOUN
झाल्यामुळे,NOUN
असं,NOUN
दिसून,NOUN
आलं,NOUN
आहे,NOUN
की,PART
हे,PART
जंगल,NOUN
जितक्या,NOUN
प्रमाणात,NOUN
कार्बन,NOUN
डाय,NOUN
ऑक्साईड,NOUN
शोषून,NOUN
घेतं,NOUN
त्याच्यापेक्षा,NOUN
अधिक,NOUN
उत्सर्जित,NOUN
करतं,NOUN
आहे,NOUN
ॲमेझॉनचं,NOUN
जंगल,NOUN
हे,PART
अन्न,NOUN
आणि,NOUN
औषधांचा,NOUN
देखील,NOUN
एक,PART
प्रमुख,NOUN
स्त्रोत,NOUN
आहे,NOUN
या,PART
जंगलांमध्ये,PP
धातू,NOUN
विशेषकरून,NOUN
सोन्यासाठी,PP
उत्खनन,NOUN
केलं,NOUN
जातं,NOUN
हा,PART
भाग,NOUN
कच्चे,NOUN
तेल,NOUN
आणि,NOUN
नैसर्गिक,NOUN
वायूचा,NOUN
देखील,NOUN
एक,PART
मोठा,NOUN
उत्पादक,NOUN
प्रदेश,NOUN
ठरू,NOUN
शकतो,NOUN
मोठ्या,NOUN
प्रमाणात,NOUN
जंगलतोड,NOUN
झाल्यामुळे,NOUN
तिथून,NOUN
मोठ्या,NOUN
प्रमाणात,NOUN
लाकडाचा,NOUN
पुरवठा,NOUN
होतो,NOUN
आहे,NOUN
ॲमेझॉनच्या,PP
जंगलांमध्ये,PP
नेमकं,NOUN
काय,NOUN
घडतं,NOUN
आहे,NOUN
तापमानात,NOUN
वेगानं,NOUN
होत,NOUN
असलेली,VERB
वाढ,NOUN
आणि,NOUN
प्रदीर्घ,NOUN
काळ,NOUN
पडलेल्या,NOUN
दुष्काळामुळे,NOUN
ॲमेझॉनच्या,PP
नैसर्गिक,NOUN
संतुलनावर,PP
मोठा,NOUN
परिणाम,NOUN
झाला,PP
आहे,NOUN
सर्वसाधारणपणे,NOUN
ओलसर,NOUN
राहणारं,NOUN
हे,PART
जंगल,NOUN
आता,NOUN
मोठ्या,NOUN
प्रमाणात,NOUN
कोरडं,NOUN
झालं,NOUN
आहे,NOUN
त्यामुळे,NOUN
जंगलाचा,NOUN
असणारा,NOUN
आगीचा,NOUN
धोका,NOUN
वाढला,PP
आहे,NOUN
उदाहरणार्थ,NOUN
आयएनपीई,NOUN
या,PART
ब्राझीलच्या,PP
अंतराळ,NOUN
संस्थेनुसार,NOUN
सप्टेंबर,NOUN
2024,NUM
मध्ये,PP
ब्राझीलमधील,NOUN
ॲमेझॉन,NOUN
खोऱ्यात,NOUN
41,NUM
463,NUM
ठिकाणी,NOUN
आगीचे,NOUN
हॉटस्पॉट,NOUN
नोंदवण्यात,NOUN
आले,VERB
हे,PART
2010,NUM
नंतर,NOUN
सप्टेंबर,NOUN
महिन्यात,NOUN
नोंदवण्यात,NOUN
आलेलं,NOUN
सर्वाधिक,NOUN
प्रमाण,NOUN
होतं,NOUN
अमेरिकेतील,NOUN
येल,NOUN
विद्यापीठातील,NOUN
इकोसिस्टम,NOUN
कार्बन,NOUN
कॅप्चर,NOUN
चे,PART
सहायक,NOUN
प्राध्यापक,NOUN
पाउलो,NOUN
ब्रांडो,NOUN
म्हणतात,VERB
दुष्काळ,NOUN
आणि,NOUN
आग,PART
लागण्याच्या,PP
घटनांमध्ये,PP
सातत्यानं,NOUN
वाढ,NOUN
होते,NOUN
आहे,NOUN
यामुळे,NOUN
ॲमेझॉनच्या,PP
अनेक,NOUN
भागाची,NOUN
धूप,NOUN
वाढली,VERB
आहे,NOUN
ते,PART
पुढे,NOUN
म्हणतात,VERB
अनेक,NOUN
भागात,NOUN
ही,PART
धूप,NOUN
आता,NOUN
ॲमेझॉनच्या,PP
जंगलांसाठी,PP
एक,PART
मोठा,NOUN
धोका,NOUN
ठरते,NOUN
आहे,NOUN
फ्लाईंग,NOUN
रिव्हर्सवरील,NOUN
विनाशकारी,NOUN
परिणाम,NOUN
समस्या,NOUN
इथूनच,NOUN
सुरू,NOUN
होते,NOUN
विशाल,NOUN
आकाराचं,NOUN
ॲमेझॉन,NOUN
खोऱ्यात,NOUN
स्वत,NOUN
च्याच,NOUN
हवामान,NOUN
प्रणाली,VERB
आहेत,NOUN
याची,NOUN
जंगलं,NOUN
अटलांटिक,NOUN
महासागरातून,NOUN
येणारी,NOUN
आर्द्रता,NOUN
किंवा,NOUN
ओलावा,NOUN
पसरवतात,VERB
त्यांना,NOUN
आकाशात,NOUN
वाहणाऱ्या,NOUN
हवाई,NOUN
नद्या,NOUN
किंवा,NOUN
फ्लाईंग,NOUN
रिव्हर्स,NOUN
म्हणतात,VERB
या,PART
वातावरणातील,NOUN
नद्या,NOUN
सर्वात,NOUN
